"permit_number","streetname","Cross Street 1","Cross Street 2","Utility / Contractor","Permit Reason","Utility Type","Effective Date","Expiration Date","Status","cnn"
"09EXC-5195","MONTEREY BLVD","MONTECITO AVE","HAZELWOOD AVE","Pacific Gas & Electric","Replace Main","Gas","2009-08-29 00:00:00","2009-09-27 00:00:00","APPROVED","9280102"
"09EXC-5195","MONTECITO AVE","MONTEREY BLVD","","Pacific Gas & Electric","Replace Main","Gas","2009-08-29 00:00:00","2009-09-27 00:00:00","APPROVED","22257000"
"09EXC-5195","MONTEREY BLVD","MONTECITO AVE","","Pacific Gas & Electric","Replace Main","Gas","2009-08-29 00:00:00","2009-09-27 00:00:00","APPROVED","22257000"
"09EXC-5195","MONTEREY BLVD","RIDGEWOOD AVE","MONTECITO AVE","Pacific Gas & Electric","Replace Main","Gas","2009-08-29 00:00:00","2009-09-27 00:00:00","APPROVED","9280101"
"09EXC-5195","MONTEREY BLVD","PLYMOUTH AVE","MIRAMAR AVE \ PLYMOUTH AVE","Pacific Gas & Electric","Replace Main","Gas","2009-08-29 00:00:00","2009-09-27 00:00:00","APPROVED","9284101"
"09EXC-4831","WATERVILLE ST","CONKLING ST","AUGUSTA ST","Pacific Gas & Electric","Repair Leak","Gas","2009-08-10 00:00:00","2009-09-23 00:00:00","APPROVED","13458000"
"09EXC-5094","SAN BRUNO AVE","FELTON ST","BURROWS ST","J. Flores Construction Co.","Replace Main","Sewer","2009-08-26 00:00:00","2009-09-08 00:00:00","APPROVED","11376000"
"09EXC-5010","PHELPS ST","HUDSON AVE","INNES AVE","Bureau of Street & Sewer Repair","Reconstruct Pavement","Street / Roadway","2020-08-25 00:00:00","2020-10-23 00:00:00","APPROVED","10399000"
"09EXC-4618","IRVING ST","28TH AVE","29TH AVE","San Francisco Water Department","Repair Main","Water Service","2009-08-07 00:00:00","2009-09-05 00:00:00","APPROVED","7305000"
"09EXC-4865","UPLAND DR","SAN ALESO AVE","APTOS AVE","San Francisco Water Department","Install New Fire Service","Water Service","2009-08-14 00:00:00","2009-09-11 00:00:00","APPROVED","13011000"
"09EXC-4471","23RD AVE","BALBOA ST","CABRILLO ST","Pacific Gas & Electric","Repair Leak","Gas","2009-07-27 00:00:00","2009-09-09 00:00:00","APPROVED","1216000"
"09EXC-3919","LAUSSAT ST","FILLMORE ST","STEINER ST","Pacific Gas & Electric","Relocate Service","Gas","2009-07-23 00:00:00","2009-09-05 00:00:00","APPROVED","8178000"
"09EXC-5194","VALLEJO ST","GOUGH ST","OCTAVIA ST","Pacific Gas & Electric","Raise / Adjust Casting","Electric","2009-09-14 00:00:00","2009-10-13 00:00:00","APPROVED","13111000"
"09EXC-5194","GOUGH ST","VALLEJO ST","","Pacific Gas & Electric","Raise / Adjust Casting","Electric","2009-09-14 00:00:00","2009-10-13 00:00:00","APPROVED","26572000"
"09EXC-5194","VALLEJO ST","GOUGH ST","","Pacific Gas & Electric","Raise / Adjust Casting","Electric","2009-09-14 00:00:00","2009-10-13 00:00:00","APPROVED","26572000"
"09EXC-4684","19TH ST","RHODE ISLAND ST","KANSAS ST","Pacific Gas & Electric","Cut-Off Service","Gas","2009-08-17 00:00:00","2009-10-09 00:00:00","APPROVED","953000"
"09EXC-2975","FILLMORE ST","GEARY BLVD","POST ST","Bureau of Urban Forestry","Install New Curb Ramp","Curb Ramp","2009-08-31 00:00:00","2009-09-27 00:00:00","APPROVED","5547000"
"09EXC-4585","HEAD ST","END","RANDOLPH ST","Pacific Gas & Electric","Replace Service","Gas","2009-09-28 00:00:00","2009-11-11 00:00:00","APPROVED","6854000"
"09EXC-4798","23RD AVE","TARAVAL ST","ULLOA ST","San Francisco Water Department","Repair Leak","Water Service","2009-08-12 00:00:00","2009-09-10 00:00:00","APPROVED","1227000"
"09EXC-4678","COLE ST","BEULAH ST","FREDERICK ST","Pacific Gas & Electric","Repair Leak","Gas","2009-08-04 00:00:00","2009-09-17 00:00:00","APPROVED","4241000"
"09EXC-5054","JOOST AVE","BADEN ST","CONGO ST","San Francisco Water Department","Install New Service","Water Service","2009-08-24 00:00:00","2009-09-02 00:00:00","APPROVED","7608000"
"09EXC-5193","TAYLOR ST","SUTTER ST","BUSH ST","Pacific Gas & Electric","Raise / Adjust Casting","Electric","2009-09-08 00:00:00","2009-10-22 00:00:00","APPROVED","12437000"
"09EXC-4733","VALENCIA ST","23RD ST","24TH ST","Pacific Gas & Electric","Install New Service","Electric","2009-08-31 00:00:00","2009-10-14 00:00:00","APPROVED","13072000"
"09EXC-4403","WEST PORTAL AVE","ULLOA ST","VICENTE ST","Clear Channel Outdoor","Install Newsrack","NewsRack","2009-08-15 00:00:00","2009-09-13 00:00:00","APPROVED","13577101"
"09EXC-4826","DARTMOUTH ST","FELTON ST","","San Francisco Water Department","Repair Main","Water Service","2009-08-13 00:00:00","2009-09-11 00:00:00","APPROVED","20917000"
"09EXC-4826","FELTON ST","DARTMOUTH ST","","San Francisco Water Department","Repair Main","Water Service","2009-08-13 00:00:00","2009-09-11 00:00:00","APPROVED","20917000"
"09EXC-4193","NORTH POINT ST","LARKIN ST","POLK ST","Pacific Gas & Electric","Install New Service","Electric","2009-08-03 00:00:00","2009-09-16 00:00:00","APPROVED","9696000"
"09EXC-5190","28TH AVE","PACHECO ST","QUINTARA ST","San Francisco Water Department","Repair Main","Water Service","2009-08-28 00:00:00","2009-09-26 00:00:00","APPROVED","1591000"
"09EXC-3963","26TH AVE","LAWTON ST","MORAGA ST","Pacific Gas & Electric","Replace Service","Gas","2009-08-24 00:00:00","2009-10-07 00:00:00","APPROVED","1481000"
"09EXC-4484","OFARRELL ST","GRANT AVE \ MARKET ST","SECURITY PACIFIC PL","Pacific Gas & Electric","Repair Leak","Gas","2009-07-27 00:00:00","2009-09-09 00:00:00","APPROVED","9720000"
"09EXC-4395","FUNSTON AVE","CABRILLO ST","FULTON ST","Pacific Gas & Electric","Repair Leak","Gas","2009-07-23 00:00:00","2009-09-05 00:00:00","APPROVED","5964000"
"09EXC-4994","SAN CARLOS ST","18TH ST","19TH ST","Comcast Cable Corporation","Install New Main","Cable TV","2009-08-21 00:00:00","2009-09-19 00:00:00","APPROVED","11404000"
"09EXC-5184","29TH ST","NOE ST","CASTRO ST \ DAY ST","San Francisco Water Department","Repair Main","Water Service","2009-08-28 00:00:00","2009-09-26 00:00:00","APPROVED","1634000"
"09EXC-5129","CHENERY ST","BROMPTON AVE","LIPPARD AVE","Bureau of Urban Forestry","Repair Sidewalk","Sidewalk/Curb","2009-08-27 00:00:00","2009-09-05 00:00:00","APPROVED","3929000"
"09EXC-5122","PRAGUE ST","BRAZIL AVE","PERSIA AVE","Bureau of Urban Forestry","Replace Sidewalk","Sidewalk/Curb","2009-08-27 00:00:00","2009-09-05 00:00:00","APPROVED","10729000"
"09EXC-5071","05TH AVE","CLEMENT ST","GEARY BLVD","Bureau of Street & Sewer Repair","Reconstruct Pavement","Street / Roadway","2009-09-01 00:00:00","2009-09-30 00:00:00","APPROVED","279000"
"09EXC-4397","PALOU AVE","QUINT ST \ SILVER AVE","RANKIN ST","Pacific Gas & Electric","Place Conduit","Electric","2009-08-03 00:00:00","2009-09-16 00:00:00","APPROVED","10227000"
"09EXC-4873","05TH ST","MINNA ST","","SBC - Pacific Bell Engineering","Raise / Adjust Casting","Telephone","2009-08-17 00:00:00","2009-09-15 00:00:00","APPROVED","24633000"
"09EXC-4873","MINNA ST","05TH ST","","SBC - Pacific Bell Engineering","Raise / Adjust Casting","Telephone","2009-08-17 00:00:00","2009-09-15 00:00:00","APPROVED","24633000"
"09EXC-5032","20TH AVE","PACHECO ST","QUINTARA ST","San Francisco Water Department","Install New Service","Water Service","2009-08-24 00:00:00","2009-09-22 00:00:00","APPROVED","1013000"
"09EXC-5017","LEAVENWORTH ST","GOLDEN GATE AVE","TURK ST","SBC - Pacific Bell Engineering","Repair Service","Telephone","2009-08-24 00:00:00","2009-09-06 00:00:00","APPROVED","8239000"
"09EXC-5017","LEAVENWORTH ST","TURK ST","EDDY ST","SBC - Pacific Bell Engineering","Repair Service","Telephone","2009-08-24 00:00:00","2009-09-06 00:00:00","APPROVED","8240000"
"09EXC-5017","EDDY ST","LEAVENWORTH ST","","SBC - Pacific Bell Engineering","Repair Service","Telephone","2009-08-24 00:00:00","2009-09-06 00:00:00","APPROVED","24935000"
"09EXC-5017","LEAVENWORTH ST","EDDY ST","","SBC - Pacific Bell Engineering","Repair Service","Telephone","2009-08-24 00:00:00","2009-09-06 00:00:00","APPROVED","24935000"
"09EXC-5017","LEAVENWORTH ST","TURK ST","","SBC - Pacific Bell Engineering","Repair Service","Telephone","2009-08-24 00:00:00","2009-09-06 00:00:00","APPROVED","24934000"
"09EXC-5017","TURK ST","LEAVENWORTH ST","","SBC - Pacific Bell Engineering","Repair Service","Telephone","2009-08-24 00:00:00","2009-09-06 00:00:00","APPROVED","24934000"
"09EXC-4719","MAGNOLIA ST","LAGUNA ST","BUCHANAN ST","San Francisco Water Department","Install New Service","Water Service","2009-08-14 00:00:00","2009-09-12 00:00:00","APPROVED","8623000"
"09EXC-5225","18TH ST","VALENCIA ST","LAPIDGE ST","SBC - Pacific Bell Engineering","Place Conduit","Telephone","2009-08-31 00:00:00","2009-09-29 00:00:00","APPROVED","881000"
"09EXC-4075","CASTENADA AVE","PACHECO ST","UNNAMED 036","Pacific Gas & Electric","Replace Service","Gas","2009-08-03 00:00:00","2009-09-16 00:00:00","APPROVED","3772000"
"09EXC-4470","BEHR AVE","JOHNSTONE DR","JOHNSTONE DR","Pacific Gas & Electric","Repair Leak","Gas","2009-07-27 00:00:00","2009-09-09 00:00:00","APPROVED","2881000"
"09EXC-4502","17TH ST","SHOTWELL ST","SOUTH VAN NESS AVE","Pacific Gas & Electric","Cut-Off Service","Gas","2009-08-10 00:00:00","2009-09-23 00:00:00","APPROVED","794000"
"09EXC-3410","HAYES ST","WEBSTER ST","FILLMORE ST","Pacific Gas & Electric","Relocate Service","Gas","2009-08-24 00:00:00","2009-10-07 00:00:00","APPROVED","6820000"
"09EXC-5091","LYON ST","MCALLISTER ST","GOLDEN GATE AVE","J. Flores Construction Co.","Replace Main","Sewer","2009-08-26 00:00:00","2009-09-08 00:00:00","APPROVED","8560000"
"09EXC-5090","GEARY BLVD","24TH AVE","25TH AVE","Bureau of Urban Forestry","Replace Sidewalk","Sidewalk/Curb","2009-08-26 00:00:00","2009-09-04 00:00:00","APPROVED","6081201"
"09EXC-4942","PIXLEY ST","BUCHANAN ST","WEBSTER ST","San Francisco Water Department","Install New Service","Water Service","2009-08-18 00:00:00","2009-09-16 00:00:00","APPROVED","10503000"
"09EXC-5009","SAN JOSE AVE","22ND ST","ALVARADO ST","Bureau of Street & Sewer Repair","Reconstruct Pavement","Street / Roadway","2009-08-25 00:00:00","2009-10-23 00:00:00","APPROVED","11426000"
"09EXC-5009","ALVARADO ST","SAN JOSE AVE","","Bureau of Street & Sewer Repair","Reconstruct Pavement","Street / Roadway","2009-08-25 00:00:00","2009-10-23 00:00:00","APPROVED","24116000"
"09EXC-5009","SAN JOSE AVE","ALVARADO ST","","Bureau of Street & Sewer Repair","Reconstruct Pavement","Street / Roadway","2009-08-25 00:00:00","2009-10-23 00:00:00","APPROVED","24116000"
"09EXC-5009","SAN JOSE AVE","ALVARADO ST","23RD ST","Bureau of Street & Sewer Repair","Reconstruct Pavement","Street / Roadway","2009-08-25 00:00:00","2009-10-23 00:00:00","APPROVED","11427000"
"09EXC-2021","WASHINGTON ST","COLUMBUS AVE \ MONTGOMERY ST","KEARNY ST","Synergy Project Management","Reconstruct Pavement","Street / Roadway:Sewer","2009-04-06 00:00:00","2009-09-02 00:00:00","APPROVED","13410000"
"09EXC-2021","WASHINGTON ST","HOTALING PL","COLUMBUS AVE \ MONTGOMERY ST","Synergy Project Management","Reconstruct Pavement","Street / Roadway:Sewer","2009-04-06 00:00:00","2009-09-02 00:00:00","APPROVED","13409000"
"09EXC-2021","HOTALING PL","WASHINGTON ST","","Synergy Project Management","Reconstruct Pavement","Street / Roadway:Sewer","2009-04-06 00:00:00","2009-09-02 00:00:00","APPROVED","24710000"
"09EXC-2021","WASHINGTON ST","HOTALING PL","","Synergy Project Management","Reconstruct Pavement","Street / Roadway:Sewer","2009-04-06 00:00:00","2009-09-02 00:00:00","APPROVED","24710000"
"09EXC-2021","WASHINGTON ST","SANSOME ST","HOTALING PL","Synergy Project Management","Reconstruct Pavement","Street / Roadway:Sewer","2009-04-06 00:00:00","2009-09-02 00:00:00","APPROVED","13408000"
"09EXC-2021","SANSOME ST","WASHINGTON ST","","Synergy Project Management","Reconstruct Pavement","Street / Roadway:Sewer","2009-04-06 00:00:00","2009-09-02 00:00:00","APPROVED","24711000"
"09EXC-2021","WASHINGTON ST","SANSOME ST","","Synergy Project Management","Reconstruct Pavement","Street / Roadway:Sewer","2009-04-06 00:00:00","2009-09-02 00:00:00","APPROVED","24711000"
"09EXC-2021","WASHINGTON ST","CUSTOM HOUSE PL","SANSOME ST","Synergy Project Management","Reconstruct Pavement","Street / Roadway:Sewer","2009-04-06 00:00:00","2009-09-02 00:00:00","APPROVED","13407000"
"09EXC-2021","CUSTOM HOUSE PL","WASHINGTON ST","","Synergy Project Management","Reconstruct Pavement","Street / Roadway:Sewer","2009-04-06 00:00:00","2009-09-02 00:00:00","APPROVED","24708000"
"09EXC-2021","WASHINGTON ST","CUSTOM HOUSE PL","","Synergy Project Management","Reconstruct Pavement","Street / Roadway:Sewer","2009-04-06 00:00:00","2009-09-02 00:00:00","APPROVED","24708000"
"09EXC-2021","WASHINGTON ST","BATTERY ST","CUSTOM HOUSE PL","Synergy Project Management","Reconstruct Pavement","Street / Roadway:Sewer","2009-04-06 00:00:00","2009-09-02 00:00:00","APPROVED","13406000"
"09EXC-2021","BATTERY ST","WASHINGTON ST","","Synergy Project Management","Reconstruct Pavement","Street / Roadway:Sewer","2009-04-06 00:00:00","2009-09-02 00:00:00","APPROVED","24695000"
"09EXC-2021","WASHINGTON ST","BATTERY ST","","Synergy Project Management","Reconstruct Pavement","Street / Roadway:Sewer","2009-04-06 00:00:00","2009-09-02 00:00:00","APPROVED","24695000"
"09EXC-4227","MARKET ST","MONTGOMERY ST \ NEW MONTGOMERY ST","GEARY ST","Pacific Gas & Electric","Cut-Off Service","Gas","2009-08-10 00:00:00","2009-09-23 00:00:00","APPROVED","8744201"
"09EXC-5144","FAXON AVE","ELMWOOD WAY \ SOUTHWOOD DR","WILDWOOD WAY","Bureau of Urban Forestry","Replace Sidewalk","Sidewalk/Curb","2009-08-27 00:00:00","2009-09-05 00:00:00","APPROVED","5431000"
"09EXC-5164","BOSWORTH ST","ROTTECK ST","","San Francisco Water Department","Repair Main","Water Service","2009-08-28 00:00:00","2009-09-26 00:00:00","APPROVED","21923000"
"09EXC-5164","ROTTECK ST","BOSWORTH ST","","San Francisco Water Department","Repair Main","Water Service","2009-08-28 00:00:00","2009-09-26 00:00:00","APPROVED","21923000"
"09EXC-3999","PENNSYLVANIA AVE","I-280 S ON RAMP","CESAR CHAVEZ ST \ I-280 N OFF RAMP","Pacific Gas & Electric","Cut-Off Service","Gas","2009-07-22 00:00:00","2009-09-04 00:00:00","APPROVED","10338002"
"09EXC-5215","DIVISADERO ST","GOLDEN GATE AVE","TURK ST","Bureau of Urban Forestry","Replace Sidewalk","Sidewalk/Curb","2009-08-29 00:00:00","2009-09-07 00:00:00","APPROVED","4807101"
"09EXC-3418","GOLDEN GATE AVE","POLK ST","VAN NESS AVE","Pacific Gas & Electric","Repair Manhole","Electric","2009-09-14 00:00:00","2009-10-28 00:00:00","APPROVED","6265000"
"09EXC-5115","ANZA ST","35TH AVE","36TH AVE","Bureau of Urban Forestry","Replace Sidewalk","Sidewalk/Curb","2009-08-27 00:00:00","2009-09-05 00:00:00","APPROVED","2351000"
"09EXC-4689","20TH ST","ARKANSAS ST","WISCONSIN ST","San Francisco Water Department","Install New Service","Water Service","2009-08-07 00:00:00","2009-09-05 00:00:00","APPROVED","1036000"
"09EXC-3585","20TH ST","LEXINGTON ST","VALENCIA ST","San Francisco Water Department","Install New Main","Water Service","2009-07-06 00:00:00","2009-11-02 00:00:00","APPROVED","1058000"
"09EXC-3585","20TH ST","LEXINGTON ST","","San Francisco Water Department","Install New Main","Water Service","2009-07-06 00:00:00","2009-11-02 00:00:00","APPROVED","24151000"
"09EXC-3585","LEXINGTON ST","20TH ST","","San Francisco Water Department","Install New Main","Water Service","2009-07-06 00:00:00","2009-11-02 00:00:00","APPROVED","24151000"
"09EXC-3585","20TH ST","SAN CARLOS ST","","San Francisco Water Department","Install New Main","Water Service","2009-07-06 00:00:00","2009-11-02 00:00:00","APPROVED","24146000"
"09EXC-3585","SAN CARLOS ST","20TH ST","","San Francisco Water Department","Install New Main","Water Service","2009-07-06 00:00:00","2009-11-02 00:00:00","APPROVED","24146000"
"09EXC-3585","20TH ST","MISSION ST","SAN CARLOS ST","San Francisco Water Department","Install New Main","Water Service","2009-07-06 00:00:00","2009-11-02 00:00:00","APPROVED","1056000"
"09EXC-3585","20TH ST","MISSION ST","","San Francisco Water Department","Install New Main","Water Service","2009-07-06 00:00:00","2009-11-02 00:00:00","APPROVED","24144000"
"09EXC-3585","MISSION ST","20TH ST","","San Francisco Water Department","Install New Main","Water Service","2009-07-06 00:00:00","2009-11-02 00:00:00","APPROVED","24144000"
"09EXC-3585","20TH ST","CAPP ST","MISSION ST","San Francisco Water Department","Install New Main","Water Service","2009-07-06 00:00:00","2009-11-02 00:00:00","APPROVED","1055000"
"09EXC-3585","20TH ST","SOUTH VAN NESS AVE","","San Francisco Water Department","Install New Main","Water Service","2009-07-06 00:00:00","2009-11-02 00:00:00","APPROVED","24128000"
"09EXC-3585","SOUTH VAN NESS AVE","20TH ST","","San Francisco Water Department","Install New Main","Water Service","2009-07-06 00:00:00","2009-11-02 00:00:00","APPROVED","24128000"
"09EXC-3585","20TH ST","SHOTWELL ST","","San Francisco Water Department","Install New Main","Water Service","2009-07-06 00:00:00","2009-11-02 00:00:00","APPROVED","24124000"
"09EXC-3585","SHOTWELL ST","20TH ST","","San Francisco Water Department","Install New Main","Water Service","2009-07-06 00:00:00","2009-11-02 00:00:00","APPROVED","24124000"
"09EXC-3585","20TH ST","FOLSOM ST","SHOTWELL ST","San Francisco Water Department","Install New Main","Water Service","2009-07-06 00:00:00","2009-11-02 00:00:00","APPROVED","1052000"
"09EXC-3585","20TH ST","FOLSOM ST","","San Francisco Water Department","Install New Main","Water Service","2009-07-06 00:00:00","2009-11-02 00:00:00","APPROVED","24122000"
"09EXC-3585","FOLSOM ST","20TH ST","","San Francisco Water Department","Install New Main","Water Service","2009-07-06 00:00:00","2009-11-02 00:00:00","APPROVED","24122000"
"09EXC-3585","20TH ST","TREAT AVE","","San Francisco Water Department","Install New Main","Water Service","2009-07-06 00:00:00","2009-11-02 00:00:00","APPROVED","24036000"
"09EXC-3585","TREAT AVE","20TH ST","","San Francisco Water Department","Install New Main","Water Service","2009-07-06 00:00:00","2009-11-02 00:00:00","APPROVED","24036000"
"09EXC-3585","20TH ST","HARRISON ST","","San Francisco Water Department","Install New Main","Water Service","2009-07-06 00:00:00","2009-11-02 00:00:00","APPROVED","24035000"
"09EXC-3585","HARRISON ST","20TH ST","","San Francisco Water Department","Install New Main","Water Service","2009-07-06 00:00:00","2009-11-02 00:00:00","APPROVED","24035000"
"09EXC-3585","20TH ST","ALABAMA ST","","San Francisco Water Department","Install New Main","Water Service","2009-07-06 00:00:00","2009-11-02 00:00:00","APPROVED","24028000"
"09EXC-3585","ALABAMA ST","20TH ST","","San Francisco Water Department","Install New Main","Water Service","2009-07-06 00:00:00","2009-11-02 00:00:00","APPROVED","24028000"
"09EXC-3585","20TH ST","FLORIDA ST","ALABAMA ST","San Francisco Water Department","Install New Main","Water Service","2009-07-06 00:00:00","2009-11-02 00:00:00","APPROVED","1048000"
"09EXC-3585","20TH ST","FLORIDA ST","","San Francisco Water Department","Install New Main","Water Service","2009-07-06 00:00:00","2009-11-02 00:00:00","APPROVED","24029000"
"09EXC-3585","FLORIDA ST","20TH ST","","San Francisco Water Department","Install New Main","Water Service","2009-07-06 00:00:00","2009-11-02 00:00:00","APPROVED","24029000"
"09EXC-3585","20TH ST","YORK ST","","San Francisco Water Department","Install New Main","Water Service","2009-07-06 00:00:00","2009-11-02 00:00:00","APPROVED","24006000"
"09EXC-3585","YORK ST","20TH ST","","San Francisco Water Department","Install New Main","Water Service","2009-07-06 00:00:00","2009-11-02 00:00:00","APPROVED","24006000"
"09EXC-3585","20TH ST","HAMPSHIRE ST","","San Francisco Water Department","Install New Main","Water Service","2009-07-06 00:00:00","2009-11-02 00:00:00","APPROVED","24002000"
"09EXC-3585","HAMPSHIRE ST","20TH ST","","San Francisco Water Department","Install New Main","Water Service","2009-07-06 00:00:00","2009-11-02 00:00:00","APPROVED","24002000"
"09EXC-3585","20TH ST","POTRERO AVE","HAMPSHIRE ST","San Francisco Water Department","Install New Main","Water Service","2009-07-06 00:00:00","2009-11-02 00:00:00","APPROVED","1044000"
"09EXC-3585","20TH ST","SAN CARLOS ST","LEXINGTON ST","San Francisco Water Department","Install New Main","Water Service","2009-07-06 00:00:00","2009-11-02 00:00:00","APPROVED","1057000"
"09EXC-3585","20TH ST","SOUTH VAN NESS AVE","CAPP ST","San Francisco Water Department","Install New Main","Water Service","2009-07-06 00:00:00","2009-11-02 00:00:00","APPROVED","1054000"
"09EXC-3585","20TH ST","SHOTWELL ST","SOUTH VAN NESS AVE","San Francisco Water Department","Install New Main","Water Service","2009-07-06 00:00:00","2009-11-02 00:00:00","APPROVED","1053000"
"09EXC-3585","20TH ST","TREAT AVE","FOLSOM ST","San Francisco Water Department","Install New Main","Water Service","2009-07-06 00:00:00","2009-11-02 00:00:00","APPROVED","1051000"
"09EXC-3585","20TH ST","HARRISON ST","TREAT AVE","San Francisco Water Department","Install New Main","Water Service","2009-07-06 00:00:00","2009-11-02 00:00:00","APPROVED","1050000"
"09EXC-3585","20TH ST","ALABAMA ST","HARRISON ST","San Francisco Water Department","Install New Main","Water Service","2009-07-06 00:00:00","2009-11-02 00:00:00","APPROVED","1049000"
"09EXC-3585","20TH ST","HAMPSHIRE ST","YORK ST","San Francisco Water Department","Install New Main","Water Service","2009-07-06 00:00:00","2009-11-02 00:00:00","APPROVED","1045000"
"09EXC-3585","FLORIDA ST","20TH ST","21ST ST","San Francisco Water Department","Install New Main","Water Service","2009-07-06 00:00:00","2009-11-02 00:00:00","APPROVED","5625000"
"09EXC-3585","20TH ST","POTRERO AVE","","San Francisco Water Department","Install New Main","Water Service","2009-07-06 00:00:00","2009-11-02 00:00:00","APPROVED","24001000"
"09EXC-3585","POTRERO AVE","20TH ST","","San Francisco Water Department","Install New Main","Water Service","2009-07-06 00:00:00","2009-11-02 00:00:00","APPROVED","24001000"
"09EXC-5057","OLIVE ST","VAN NESS AVE","FRANKLIN ST","SBC - Pacific Bell Engineering","Place Conduit","Telephone","2009-08-26 00:00:00","2009-09-24 00:00:00","APPROVED","9920000"
"09EXC-5143","STOCKTON ST","JACKSON ST","PACIFIC AVE","Bureau of Urban Forestry","Replace Sidewalk","Sidewalk/Curb","2009-08-27 00:00:00","2009-09-05 00:00:00","APPROVED","12207000"
"09EXC-5134","GEARY BLVD","20TH AVE","21ST AVE","Bureau of Urban Forestry","Replace Sidewalk","Sidewalk/Curb","2009-08-27 00:00:00","2009-09-05 00:00:00","APPROVED","6077201"
"09EXC-3460","SAWYER ST","VISITACION AVE","SUNNYDALE AVE","Pacific Gas & Electric","Provide Cathodic Protection","Gas","2009-07-06 00:00:00","2009-09-03 00:00:00","APPROVED","11667000"
"09EXC-5259","SHOTWELL ST","24TH ST","25TH ST","San Francisco Water Department","Repair Service","Water Service","2009-09-05 00:00:00","2009-10-04 00:00:00","APPROVED","11842000"
"09EXC-4784","MOULTRIE ST","CRESCENT AVE","END","Pacific Gas & Electric","Repair Leak","Gas","2009-08-07 00:00:00","2009-09-20 00:00:00","APPROVED","9419000"
"09EXC-5007","23RD ST","CAPP ST","MISSION ST","Bureau of Street & Sewer Repair","Reconstruct Pavement","Street / Roadway","2009-08-25 00:00:00","2009-10-23 00:00:00","APPROVED","1264000"
"08EXC-1034","CAINE AVE","LAKEVIEW AVE","LOBOS ST","San Francisco Water Department","Raise / Adjust Casting","Water Service","2018-06-16 00:00:00","2018-07-15 00:00:00","APPROVED","3518099"
"09EXC-5275","PERSIA AVE","MADRID ST","EDINBURG ST","San Francisco Water Department","Repair Leak","Water Service","2009-09-01 00:00:00","2009-09-30 00:00:00","APPROVED","10367000"
"09EXC-4417","VICENTE ST","WEST PORTAL AVE","WAWONA ST","Clear Channel Outdoor","Install Newsrack","NewsRack","2009-08-15 00:00:00","2009-09-13 00:00:00","APPROVED","13236000"
"09EXC-5177","CAYUGA AVE","SANTA YNEZ AVE","OCEAN AVE","San Francisco Water Department","Repair Main","Water Service","2009-08-28 00:00:00","2009-09-25 00:00:00","APPROVED","3831000"
"09EXC-4002","COLUMBUS AVE","KEARNY ST","","Pacific Gas & Electric","Raise / Adjust Casting","Gas","2009-07-20 00:00:00","2009-09-02 00:00:00","APPROVED","24791000"
"09EXC-4002","KEARNY ST","COLUMBUS AVE","","Pacific Gas & Electric","Raise / Adjust Casting","Gas","2009-07-20 00:00:00","2009-09-02 00:00:00","APPROVED","24791000"
"09EXC-4393","PALOU AVE","NEWHALL ST","PHELPS ST","Pacific Gas & Electric","Place Conduit","Electric","2009-07-27 00:00:00","2009-09-24 00:00:00","APPROVED","10224000"
"09EXC-5157","FUNSTON AVE","AERIAL WAY","12TH AVE \ ROCKRIDGE DR","San Francisco Water Department","Repair Leak","Water Service","2009-08-27 00:00:00","2009-09-25 00:00:00","APPROVED","5975000"
"09EXC-1950","MARKET ST","16TH ST \ NOE ST","17TH ST \ CASTRO ST","San Francisco Water Department","Install New Service","Water Service","3009-03-31 00:00:00","3009-04-09 00:00:00","APPROVED","8767201"
"09EXC-5262","GUERRERO ST","26TH ST","CESAR CHAVEZ ST","Pacific Gas & Electric","Replace Main","Gas","2009-09-05 00:00:00","2009-09-21 00:00:00","APPROVED","6588101"
"09EXC-5262","GUERRERO ST","26TH ST","CESAR CHAVEZ ST","Pacific Gas & Electric","Replace Main","Gas","2009-09-05 00:00:00","2009-09-21 00:00:00","APPROVED","6588201"
"09EXC-5262","CESAR CHAVEZ ST","GUERRERO ST","","Pacific Gas & Electric","Replace Main","Gas","2009-09-05 00:00:00","2009-09-21 00:00:00","APPROVED","21897000"
"09EXC-5262","GUERRERO ST","CESAR CHAVEZ ST","","Pacific Gas & Electric","Replace Main","Gas","2009-09-05 00:00:00","2009-09-21 00:00:00","APPROVED","21897000"
"09EXC-4877","ELIZABETH ST","SAN JOSE AVE","GUERRERO ST","Pacific Gas & Electric","Repair Leak","Gas","2009-08-12 00:00:00","2009-09-25 00:00:00","APPROVED","5141000"
"09EXC-4003","04TH ST","MISSION BAY SOUTH BLVD","","Pacific Gas & Electric","Install New Service","Gas","2009-07-27 00:00:00","2009-09-09 00:00:00","APPROVED","34172000"
"09EXC-4003","MISSION BAY SOUTH BLVD","04TH ST","","Pacific Gas & Electric","Install New Service","Gas","2009-07-27 00:00:00","2009-09-09 00:00:00","APPROVED","34172000"
"09EXC-5162","GIRARD ST","SILLIMAN ST","FELTON ST","San Francisco Water Department","Install New Fire Service","Water Service","2009-08-29 00:00:00","2009-09-11 00:00:00","APPROVED","6196000"
"09EXC-5052","UNION ST","STEINER ST","PIERCE ST","San Francisco Water Department","Install New Fire Service","Water Service","2009-08-28 00:00:00","2009-09-26 00:00:00","APPROVED","12873000"
