"permit_number","streetname","Cross Street 1","Cross Street 2","Utility / Contractor","Permit Reason","Utility Type","Effective Date","Expiration Date","Status","cnn"
"09EXC-5206","OAK PARK DR","CLARENDON AVE","FOREST KNOLLS DR","Pacific Gas & Electric","Repair Leak","Gas","2009-08-27 00:00:00","2009-10-10 00:00:00","APPROVED","9772000"
"09EXC-4497","TURK ST","MARKET ST \ MASON ST","TAYLOR ST","Pacific Gas & Electric","Repair Leak","Gas","2009-08-06 00:00:00","2009-09-19 00:00:00","APPROVED","12716000"
"09EXC-5127","BUSH ST","BURRITT ST","DASHIELL HAMMETT ST","Bureau of Urban Forestry","Repair Sidewalk","Sidewalk/Curb","2009-08-27 00:00:00","2009-09-05 00:00:00","APPROVED","3434000"
"09EXC-4491","FELL ST","MASONIC AVE","ASHBURY ST","Pacific Gas & Electric","Repair Leak","Gas","2009-07-28 00:00:00","2009-09-10 00:00:00","APPROVED","5456000"
"09EXC-4787","40TH AVE","IRVING ST","JUDAH ST","San Francisco Water Department","Repair Leak","Water Service","2009-08-08 00:00:00","2009-09-06 00:00:00","APPROVED","1890000"
"09EXC-5138","BUSH ST","BUCHANAN ST","WEBSTER ST","Bureau of Urban Forestry","Repair Sidewalk","Sidewalk/Curb","2009-08-28 00:00:00","2009-09-06 00:00:00","APPROVED","3450000"
"09EXC-5237","POPE ST","HOLLYWOOD CT","CROSS ST","Pacific Gas & Electric","Replace Service","Gas","2009-09-04 00:00:00","2009-09-18 00:00:00","APPROVED","10593000"
"09EXC-5237","POPE ST","CROSS ST","MORSE ST","Pacific Gas & Electric","Replace Service","Gas","2009-09-04 00:00:00","2009-09-18 00:00:00","APPROVED","10594000"
"09EXC-5237","ROLPH ST","MISSION ST","CURTIS ST","Pacific Gas & Electric","Replace Service","Gas","2009-09-04 00:00:00","2009-09-18 00:00:00","APPROVED","11116000"
"09EXC-5237","MORAGA ST","23RD AVE","24TH AVE","Pacific Gas & Electric","Replace Service","Gas","2009-09-04 00:00:00","2009-09-18 00:00:00","APPROVED","9348000"
"09EXC-5237","ULLOA ST","14TH AVE","15TH AVE","Pacific Gas & Electric","Replace Service","Gas","2009-09-04 00:00:00","2009-09-18 00:00:00","APPROVED","12791000"
"09EXC-5237","15TH AVE","TARAVAL ST","ULLOA ST","Pacific Gas & Electric","Replace Service","Gas","2009-09-04 00:00:00","2009-09-18 00:00:00","APPROVED","628000"
"09EXC-5237","14TH AVE","RIVERA ST","SANTIAGO ST","Pacific Gas & Electric","Replace Service","Gas","2009-09-04 00:00:00","2009-09-18 00:00:00","APPROVED","571000"
"09EXC-5237","14TH AVE","SANTIAGO ST","TARAVAL ST","Pacific Gas & Electric","Replace Service","Gas","2009-09-04 00:00:00","2009-09-18 00:00:00","APPROVED","572000"
"09EXC-5237","16TH AVE","TARAVAL ST","ULLOA ST","Pacific Gas & Electric","Replace Service","Gas","2009-09-04 00:00:00","2009-09-18 00:00:00","APPROVED","693000"
"09EXC-5237","23RD AVE","LAWTON ST","MORAGA ST","Pacific Gas & Electric","Replace Service","Gas","2009-09-04 00:00:00","2009-09-18 00:00:00","APPROVED","1222000"
"09EXC-5237","25TH AVE","KIRKHAM ST","LAWTON ST","Pacific Gas & Electric","Replace Service","Gas","2009-09-04 00:00:00","2009-09-18 00:00:00","APPROVED","1384000"
"09EXC-5237","25TH AVE","LAWTON ST","MORAGA ST","Pacific Gas & Electric","Replace Service","Gas","2009-09-04 00:00:00","2009-09-18 00:00:00","APPROVED","1385000"
"09EXC-5237","26TH AVE","KIRKHAM ST","LAWTON ST","Pacific Gas & Electric","Replace Service","Gas","2009-09-04 00:00:00","2009-09-18 00:00:00","APPROVED","1480000"
"09EXC-5237","ALLISON ST","CROSS ST","MORSE ST","Pacific Gas & Electric","Replace Service","Gas","2009-09-04 00:00:00","2009-09-18 00:00:00","APPROVED","2197000"
"09EXC-5237","AMAZON AVE","MISSION ST","LONDON ST","Pacific Gas & Electric","Replace Service","Gas","2009-09-04 00:00:00","2009-09-18 00:00:00","APPROVED","2243000"
"09EXC-5237","AMAZON AVE","LONDON ST","PARIS ST","Pacific Gas & Electric","Replace Service","Gas","2009-09-04 00:00:00","2009-09-18 00:00:00","APPROVED","2244000"
"09EXC-5237","CURTIS ST","ROLPH ST","MORSE ST","Pacific Gas & Electric","Replace Service","Gas","2009-09-04 00:00:00","2009-09-18 00:00:00","APPROVED","4552000"
"09EXC-5237","MORAGA ST","25TH AVE","26TH AVE","Pacific Gas & Electric","Replace Service","Gas","2009-09-04 00:00:00","2009-09-18 00:00:00","APPROVED","9350000"
"09EXC-5237","RIVERA ST","CECELIA AVE","16TH AVE","Pacific Gas & Electric","Replace Service","Gas","2009-09-04 00:00:00","2009-09-18 00:00:00","APPROVED","11050000"
"09EXC-5237","GENEVA AVE","LISBON ST","MADRID ST","Pacific Gas & Electric","Replace Service","Gas","2009-09-04 00:00:00","2009-09-18 00:00:00","APPROVED","6141201"
"09EXC-5237","GENEVA AVE","PARIS ST","LISBON ST","Pacific Gas & Electric","Replace Service","Gas","2009-09-04 00:00:00","2009-09-18 00:00:00","APPROVED","6140201"
"09EXC-4829","18TH ST","HATTIE ST \ STORRIE ST","CLOVER ST","Pacific Gas & Electric","Repair Leak","Gas","2009-08-10 00:00:00","2009-09-23 00:00:00","APPROVED","898000"
"09EXC-5148","BISHOP ST","ANKENY ST","END","Pacific Gas & Electric","Repair Leak","Gas","2009-08-25 00:00:00","2009-10-08 00:00:00","APPROVED","2974000"
"09EXC-5040","08TH AVE","BALBOA ST","CABRILLO ST","Pacific Gas & Electric","Repair Leak","Gas","2009-08-21 00:00:00","2009-10-04 00:00:00","APPROVED","392000"
"09EXC-4634","21ST AVE","ORTEGA ST","PACHECO ST","Pacific Gas & Electric","Replace Service","Gas","2009-09-28 00:00:00","2009-11-11 00:00:00","APPROVED","1086000"
"09EXC-4866","PALOU AVE","RANKIN ST","SELBY ST","Pacific Gas & Electric","Place Conduit","Electric","2009-08-14 00:00:00","2009-10-12 00:00:00","APPROVED","10228000"
"09EXC-5165","22ND AVE","EUCALYPTUS DR","","San Francisco Water Department","Repair Leak","Water Service","2009-08-28 00:00:00","2009-09-26 00:00:00","APPROVED","23086000"
"09EXC-5165","EUCALYPTUS DR","22ND AVE","","San Francisco Water Department","Repair Leak","Water Service","2009-08-28 00:00:00","2009-09-26 00:00:00","APPROVED","23086000"
"09EXC-5261","MINERVA ST","CAPITOL AVE","ORIZABA AVE","San Francisco Water Department","Repair Main","Water Service","2009-09-01 00:00:00","2009-09-30 00:00:00","APPROVED","9037000"
"09EXC-5062","MISSION ST","EXCELSIOR AVE","SANTA ROSA AVE","Bureau of Urban Forestry","Replace Sidewalk","Sidewalk/Curb","2009-08-24 00:00:00","2009-09-02 00:00:00","APPROVED","9161000"
"09EXC-3600","BECKETT ST","JACKSON ST","PACIFIC AVE","Esquivel Grading & Paving, Inc.","Reconstruct Pavement","Street / Roadway:Sewer","2009-06-20 00:00:00","2009-09-17 00:00:00","APPROVED","2878000"
"09EXC-3600","WENTWORTH PL","WASHINGTON ST","JACKSON ST","Esquivel Grading & Paving, Inc.","Reconstruct Pavement","Street / Roadway:Sewer","2009-06-20 00:00:00","2009-09-17 00:00:00","APPROVED","13573000"
"09EXC-3600","BECKETT ST","PACIFIC AVE","","Esquivel Grading & Paving, Inc.","Reconstruct Pavement","Street / Roadway:Sewer","2009-06-20 00:00:00","2009-09-17 00:00:00","APPROVED","24793000"
"09EXC-3600","PACIFIC AVE","BECKETT ST","","Esquivel Grading & Paving, Inc.","Reconstruct Pavement","Street / Roadway:Sewer","2009-06-20 00:00:00","2009-09-17 00:00:00","APPROVED","24793000"
"09EXC-3600","BECKETT ST","JACKSON ST","","Esquivel Grading & Paving, Inc.","Reconstruct Pavement","Street / Roadway:Sewer","2009-06-20 00:00:00","2009-09-17 00:00:00","APPROVED","25029000"
